"symbol","logFC","pvalue"
"Csn1s2b",-0.0325674813315855,0.982082495015101
"Slc25a1",-1.33176707500443,0.00631857117013648
"Atp2b2",-0.150392919403548,0.999613324927691
"Slc34a2",0.377126241348105,0.731031035958483
"Acacb",0.56917547028665,0.524774621927046
"Egf",1.17190460808398,0.281568088905813
"Slc30a2",0.206493106520448,0.998854510061257
"Elovl5",-1.01723586176069,0.0539364543816606
"Rbp1",0.380936668294536,0.699222129228177
"Ceacam10",-2.40782290307,0.0168172045429616
"Ddah1",1.78930195265098,0.0122808781108932
"Cidea",-1.21343590146013,0.00717935040715558
"Pmvk",-0.771776519406744,0.0896129911075037
"St6gal1",0.559317504295505,0.537767570438441
"Ppl",-1.6315617325789,0.021198330586603
"Elovl6",-0.348834036175056,0.949713657957825
"Ggt1",0.988342209855928,0.00250898782754465
"Slc39a8",-0.704561212076498,0.105130032783471
"Slc39a4",-0.196381420164364,0.847762346596046
"Scd1",1.97023427721237,0.0632561146571344
"Cited1",1.3993549679919,0.00370943423843606
"Kcnk6",0.205667302130951,0.994092633641707
"Slc7a4",-0.428143297589529,0.661641987297538
"Tc2n",0.0885827555096714,0.999935886300458
"Lgals12",-0.600196520864021,0.562888265070639
"Slc33a1",-0.0894568697225537,0.996777865640844
"Ctsc",0.457931279055786,0.765834435294271
"Ptgs1",1.23785771386782,0.00626172072777504
"Osbpl1a",-0.479481376643377,0.725655516066062
"Eloa",1.98343812386274,0.015235686532138
"Lpo",-0.185047971541247,0.967386520176645
"BC006965",-0.383353095612238,0.735499751428656
"Tor3a",1.45135863673941,0.00074859396415771
"Acss2",-4.19248936143394,1.91280112616326e-05
"Acat2",-0.388501877737521,0.68967017509936
"Eef2k",0.653829679856549,0.367173864876393
"Steap1",-0.203153149462555,0.836434264517736
"Mfsd4a",0.0411315762293092,0.99332784183441
"Gjb1",0.0456910433256605,0.995320369208308
"Fkbp11",0.822655686530753,0.0243349875754985
"Insig1",0.0300071443082546,0.999964307903976
"Dnajc6",-0.69648258300092,0.615211573037954
"Bhlha15",-0.785846498553663,0.157485903578382
"Asah1",-0.526054996926359,0.657207593388445
"Acat3",-0.380685155624204,0.753199131823801
"Oxct1",-0.746667735609011,0.250504418841371
"Acot1",0.0678024891792885,0.981965870965405
"Gsdmc",-0.565219133455751,0.523157787579103
"Acadsb",-0.307704116799637,0.950315658396451
"Orm1",-0.848951844715986,0.0190733635463584
"Anpep",0.74200016231037,0.039136912629862
"Prkaa2",-0.537656871343638,0.615203901761877
"Gprc5b",0.806874525532557,0.412094944114212
"Aldoc",-0.591627906145621,0.490605077006631
"Slc1a3",-1.80072145793946,0.0239199731213816
"Sectm1a",-1.45891318191738,0.00143188200295055
"Ttyh1",0.778355508495114,0.0689915357052222
"Acly",-0.287372497981675,0.972557961431252
"Mfsd2a",0.339191110111251,0.841745091555346
"Rph3al",0.957645756271782,0.0409788087984862
"Steap2",1.7263576124491,0.010602361742398
"Ackr3",0.0431708473875863,0.996767769927687
"Muc1",-1.40468839425808,0.000575143247585172
"Il15",0.581786370383414,0.492592987352827
"Cmpk2",-0.00482733789027989,0.999971973177481
"Tbc1d9",2.54609867291621,2.04182311619238e-07
"Sox4",0.972560783986935,0.0663414024038436
"Drd4",0.458715346659238,0.837941935471582
"Tm7sf2",-0.0149452461492144,0.988106548065662
"Tbc1d24",0.0841825799019977,0.943506543566678
"Cldn3",-1.36170075741808,4.57875765583669e-05
"Sardh",0.0841825799019977,0.948033321551391
"Stard13",0.443434117616757,0.874617720811265
"Gm2a",-0.104770111316688,0.946388335211003
"Cel",0.365039886813743,0.976004422341153
"Muc4",3.53688162151599,0.019735218024568
"Adamts5",-0.758086463589034,0.267353646295911
"Trip6",-0.587447494080752,0.477452157269137
"Krt80",-0.146712528403418,0.905002457609831
"Net1",0.241112887974435,0.995011341753253
"Prdx4",-0.659903585243345,0.374749922528183
"Cav2",0.862914367442321,0.16544025172702
"Pds5b",0.327743835698213,0.947410988482212
"Cyb5b",1.11088198554525,0.000704694237602613
"Smad7",-0.0775296743618994,0.99443198706875
"Glycam1",0.426311208433208,0.924666607606456
"Mlec",-0.458530094536067,0.89755742926596
"Ly6a",-0.565294572117779,0.520052294031897
"Deptor",0.264545307813357,0.995186001307993
"Ikzf4",-0.440009285532059,0.644924260821383
"Slco2a1",-0.00859553758351073,0.999420131320459
"Pycr2",0.621573329274059,0.585067958940805
"Gnmt",-1.60529816596258,0.0081484249718126
"Erf",1.63764314088666,0.0110203999067262
"Rassf6",-2.01496457413405,2.37803940657896e-06
"Nfil3",-0.422091202233664,0.945612520463529
"Mocs1",2.41017723040419,0.0120911274278677
"Tspan7",0.617893854543676,0.459985600165114
"Gpr146",-0.09048173971016,0.960705039076467
"Gnb4",0.347383079391381,0.720950945789397
"Fdps",-0.76003131768642,0.0464310168331929
"Mpv17l",-2.4064750854913,0.000381238360972792
"Tmem110",-0.142800177562642,0.972979531166543
"Fads1",-1.2596171462898,0.106242058373749
"Derl3",-0.659445738355568,0.347609587452937
"Ccdc74a",1.38355349229541,0.190222013130389
"Dtx4",1.76245941325782,0.000257573257160709
"Aldh1l1",-0.0606371222541311,0.996930582937622
"Crip2",-0.317233675409144,0.815602219680809
"Fasn",-0.871416485011983,0.301641243303647
"Sapcd2",-0.123052082838166,0.993916704374089
"Slc9a2",0.638314650378397,0.286344477883266
"Acot2",4.48460058945352,0.000168395206231
"Isg20",-3.2965771952056,9.5791325077222e-11
"Tgfb2",-2.69124955710907,2.93928580087815e-05
"Gm3500",-0.696482583000921,0.520751352108807
"Slc50a1",-1.60686251413117,0.000605845773853506
"Tmem165",0.0510988977527091,0.994817193058252
"Lss",0.488606454578453,0.678430142190357
"Slc7a2",2.34995873438773,0.0247821454305307
"Bcl2l1",0.994536470580677,0.486151163333887
"Rasgrp1",2.91797878065203,0.0204585854653887
"Me1",-1.15215683965856,0.000227074073496135
"Car5b",0.633215746190441,0.412567017476134
"Echdc1",-0.0191512092926276,0.999531354047309
"Aacs",0.0793559368911518,0.998527592001919
"Klf10",-0.111307178583711,0.997821941615904
"Myrf",1.64317256822307,0.000538952879225881
"Stim2",0.813539710172237,0.0583875339352847
"Phf19",-0.0395539016340316,0.996660398526852
"Gm16440",0.473588520252643,0.64068048026559
"Mavs",-1.4128438630537,0.00434488615769584
"Sqle",-0.152235224062981,0.999694039157657
"Scd2",1.3479697298687,1.06763640745298e-05
"Met",0.166041696131103,0.983858194372065
"Dusp6",0.173942267373632,0.968632525500889
"Dlat",-0.156200394072345,0.87570170743206
"Timm8b",-0.695225757452238,0.146160913053807
"Klf15",0.053661945080985,0.99889337313224
"Rab18",0.197265198673656,0.936370943392806
"Ptprg",-0.69648258300092,0.600134964700602
"C1qtnf1",-0.218001611441803,0.973654839121766
"Man2a2",-0.152386541339203,0.998727731785377
"Ccdc120",-0.364379663135246,0.979787411773107
"Cdh1",0.672327138639489,0.18185566303947
"Cmtm6",0.11782153938194,0.999344384946942
"Gm5424",-1.36094533750196,0.000141758257763964
"Nid2",0.162926819763048,0.951605518877772
"Cst3",0.933436004964677,0.00358211959954705
"Mpc1-ps",-1.36456016916716,0.0074447807311675
"Car4",0.915724805386714,0.0821657462266419
"Cttnbp2nl",0.126827021846944,0.991732703305193
"Scd3",-2.40497253172726,1.34898281349188e-06
"Mdh1",-0.107556390977369,0.999531525114953
"Gstm7",0.339274667677194,0.726545448144161
"Cdr2l",0.672159296835895,0.265046728766686
"Gm12863",0.376668563241921,0.719387810438928
"Nedd9",-0.119301365307471,0.999340843438248
"Pank3",0.431210613900793,0.946512353061748
"Sertad4",0.634688900160342,0.282891477955094
"Dhcr24",0.239471438524183,0.842862134937413
"Gldc",-0.452080794545156,0.754633749177714
"Pawr",3.81834150771695,0.00347218955461611
"Ptges3l",0.0408772891828013,0.999653840217766
"Lao1",-0.919016193403457,0.00659228726766061
"Noxo1",0.0463573527148606,0.977987981660138
"Qsox1",-0.547320178551386,0.546901259361152
"Fads2",-0.183586062483601,0.998488534328242
"Clspn",-0.864822280526056,0.234270086564321
"Irx5",-0.360345649490876,0.959115403375731
"Gna15",-0.662894071303294,0.224539747800399
"Orm2",-0.592290824627906,0.468430364174281
"Lpar6",-1.25607287856081,1.69847778094485e-06
"Tacc1",0.380775868748088,0.966821647989174
"Ctgf",1.59280085427668,4.76969442359035e-07
"Sun2",1.8464533674101,0.0276795241039653
"Rapgef5",0.880954938632605,0.449086342425286
"F2rl1",-0.465855503463778,0.668683852074861
"Sec11c",0.0766015206654362,0.990294217802462
"Lrfn4",0.0187597449077526,0.999526916384029
"Tph1",0.830526438307531,0.0387763614297278
"Gm13889",0.203225464910336,0.981551280109256
"Apol7a",0.00246670020922757,0.999994545071794
"Tnfrsf12a",0.325298132169357,0.975613982879602
"Folr1",0.827688056973826,0.0164924174092396
"Homer2",-0.446878394326732,0.656048697373734
"Gm11127",-0.0955307312619489,0.999535029633515
"Mpc1",-0.336587845663838,0.973314523210616
"Map4k4",-0.515760996109812,0.656082775007955
"Phlda1",0.169480025031071,0.927976408962077
"Stard4",0.548844017153333,0.62821383176289
"Clcc1",0.351700247415176,0.821035999604569
"Rin2",0.449189214254363,0.889181565980125
"Cmtm8",-1.37572934621972,0.0943000615014366
"Cyb5a",0.26104047524843,0.9647592097299
"Pygl",-0.0222986491537669,0.99771176896026
"Fah",-0.66362997377791,0.317287488069232
"Nsdhl",0.0193685702155428,0.992857575896444
"Kctd11",0.00903428466896061,0.993218776518548
"Spp1",0.770158512439456,0.102360972630079
"Cdc42ep1",0.416846410139293,0.883357882442712
"Thbs1",0.563318479831382,0.548382996564662
"Nsmce1",-0.244366774796601,0.998941303856333
"Fam13b",0.0827568711682858,0.99905952459009
"Pcx",-0.304413834618413,0.932708289006974
"G6pdx",-0.684003405093077,0.332363019179446
"Pkp3",-0.604018306345608,0.409876726207603
"Csf1",-3.22508269241058,5.98278937033523e-06
"Prss35",-1.07685946103388,0.140632985655442
"BC003331",0.471122711359221,0.707076471691014
"Wfdc17",2.53368568925947,9.17078020907359e-05
"Kdm5b",-1.06738884083614,0.00300757444380766
"Itsn1",-1.10391992851779,0.0195821221205693
"Hid1",0.473350461241767,0.706651481748936
"Gcat",1.22749135379236,0.0246168517567119
"Plpp4",-0.272313206950058,0.788572802981213
"Ccl28",-0.514273283647447,0.612373452833527
"Msmo1",-0.822405193440737,0.0719768952732249
"Sema7a",-0.245699958158139,0.974174665370377
"Adgrf1",-0.560951401724843,0.569482802786382
"Plpp2",-2.183206248776,0.0029928565331711
"Sstr4",3.05599972818387,5.65549596611415e-06
"Vcl",-0.148562818260478,0.966116817210543
"1700001O22Rik",-1.32254814852447,0.379223715780962
