"symbol","logFC","pvalue"
"Csn1s2b",-3.89740681822443,5.32019718041023e-07
"Slc25a1",0.272179131506706,0.785859490400851
"Atp2b2",-1.02257981496393,0.00134076194916735
"Slc34a2",1.36036817865736,4.70712128187776e-05
"Acacb",-1.05118963325433,0.263456184606022
"Egf",0.105915652975158,0.93759838258093
"Slc30a2",-0.231586510266688,0.813881472808939
"Elovl5",-0.565219133455751,0.523157787577772
"Rbp1",-1.1319334740884,7.34853219247788e-05
"Ceacam10",0.771774601760327,0.114993383482733
"Ddah1",1.79805723075893,0.0088696754129055
"Cidea",-4.1391142869604,1.23666125107389e-09
"Pmvk",-0.956273012068506,0.29227171282466
"St6gal1",-0.360882171351954,0.710514100452462
"Ppl",1.61386675234806,0.112657476465683
"Elovl6",0.123454985773895,0.997074075763866
"Ggt1",-0.206718593710398,0.999648896631676
"Slc39a8",0.554946304622564,0.53191115069477
"Slc39a4",-1.15753430286968,0.0321105816971164
"Scd1",-0.413377899825991,0.899617911246633
"Cited1",0.748473388797719,0.0989352289194654
"Kcnk6",-0.978481861655356,0.0784877656411478
"Slc7a4",-0.486728268959723,0.60844442180126
"Tc2n",0.109418249168275,0.928793968182147
"Lgals12",0.31261324433767,0.917264772715746
"Slc33a1",-0.783149044474687,0.353061631231073
"Ctsc",0.71085579829834,0.117962337376854
"Ptgs1",-0.821350163788979,0.33201615585128
"Osbpl1a",-0.0631307365095046,0.981061946701638
"Eloa",-0.65545927922231,0.301750812575832
"Lpo",-0.735981780365081,0.101989987244825
"BC006965",1.44710538970412,0.00590200343162085
"Tor3a",-1.12504224410065,0.325543650469618
"Acss2",2.23963077546311,2.49649394369792e-09
"Acat2",-0.586402777884915,0.486824290299439
"Eef2k",-0.268947206183884,0.804908621318338
"Steap1",0.270718746033816,0.994003611788379
"Mfsd4a",-0.423956705540652,0.670988092682438
"Gjb1",0.816417976266018,0.216502650061799
"Fkbp11",1.7623831071299,0.0123967464550339
"Insig1",0.825698379614662,0.0912326739748852
"Dnajc6",1.02139145992889,0.242536663597726
"Bhlha15",-1.38536440968418,0.000748846352559
"Asah1",-0.506606649807463,0.608292092207031
"Acat3",-0.42422779800421,0.775845654658872
"Oxct1",-2.19737932845466,6.23798424543731e-05
"Acot1",-0.163908266734548,0.994110456827058
"Gsdmc",0.299471451129333,0.959621192531063
"Acadsb",-0.643583764943895,0.474023856368597
"Orm1",0.626841416216678,0.389890259180584
"Anpep",-0.0718407074037102,0.982135566158909
"Prkaa2",-0.940774425878779,0.147158586118509
"Gprc5b",0.235666473500671,0.998290104447248
"Aldoc",-0.383651302766978,0.916567866318637
"Slc1a3",0.0958774495532899,0.991139589186398
"Sectm1a",0.812791683825286,0.491655623987342
"Ttyh1",-0.732215549034533,0.177218150677964
"Acly",-0.216463152915788,0.998729289922494
"Mfsd2a",0.142529574939622,0.903119586618415
"Rph3al",-0.923892819839087,0.0248343836400799
"Steap2",1.12838548822807,0.0954423162229883
"Ackr3",1.37466320423028,0.000213868785410901
"Muc1",0.443762879104281,0.827562464720524
"Il15",0.400502517735505,0.892407756273403
"Cmpk2",-0.942268388233181,0.0329415912055796
"Tbc1d9",0.771755046586196,0.137937709453488
"Sox4",1.0142297646613,0.349927866661604
"Drd4",-0.21282071854933,0.829698100341448
"Tm7sf2",0.553845996220877,0.536546701763456
"Tbc1d24",-0.129477852801311,0.989304923594
"Cldn3",-1.82134989595202,8.36075003904555e-06
"Sardh",4.03199427916133,0.000860553255448437
"Stard13",1.08079795577556,0.000324118380100085
"Gm2a",0.516866471205096,0.570429993555862
"Cel",-0.107259782184473,0.917453104813113
"Muc4",0.19130264779356,0.84629329637035
"Adamts5",-0.633700173257252,0.300874482175688
"Trip6",-0.0504160217694358,0.983855178391222
"Krt80",-0.691724520594248,0.132534714111688
"Net1",-0.684734864397464,0.290159507301792
"Prdx4",0.841567288390765,0.0506114859812863
"Cav2",-0.69648258300092,0.55884487106882
"Pds5b",0.145151442797294,0.98443681925117
"Cyb5b",0.6615793724564,0.203961242100876
"Smad7",-0.257458234742463,0.990707805864367
"Glycam1",-0.496202355011322,0.809930936622076
"Mlec",-0.184909202568699,0.870743801654212
"Ly6a",-0.587487554448326,0.476458510587456
"Deptor",-2.28143016799278,0.0510070018481101
"Ikzf4",0.349420717463655,0.967627658475824
"Slco2a1",-1.46813211297792,0.00728023313894315
"Pycr2",0.0647458792791893,0.980588880269253
"Gnmt",0.205018734881818,0.997771653514066
"Erf",0.207849066762265,0.996276412652526
"Rassf6",0.326490902631157,0.821764272638125
"Nfil3",0.989128937115505,0.00370623635011035
"Mocs1",0.0698478400898539,0.998032204209246
"Tspan7",0.149365974864409,0.890194551694987
