"gene_symbol","Control_GSM300173","Control_GSM300177","Control_GSM300181","Control_GSM300186","Control_GSM300189","Control_GSM300192","Control_GSM300196","Control_GSM300204","Control_GSM300208","Control_GSM300214","Control_GSM300218","Control_GSM300222","Control_GSM300228","Control_GSM300230","Control_GSM300234","Control_GSM300238","Control_GSM300242","Control_GSM300248","Control_GSM300252","Control_GSM300258","Control_GSM300261","Control_GSM300267","Control_GSM300271","Control_GSM300275","Control_GSM300279","Control_GSM300285","Control_GSM300289","Control_GSM300293","Control_GSM300297","Control_GSM300300","Control_GSM300304","Control_GSM300308","Control_GSM300312","Control_GSM300316","Control_GSM300320","Control_GSM300324","Control_GSM300328","Control_GSM300332","Control_GSM300338","AD_GSM1176196","AD_GSM1176197","AD_GSM1176198","AD_GSM1176199","AD_GSM1176200","AD_GSM1176201","AD_GSM1176202","AD_GSM1176203","AD_GSM1176204","AD_GSM1176205","AD_GSM1176206","AD_GSM1176207","AD_GSM1176208","AD_GSM1176209","AD_GSM1176210"
"ONECUT3",0.61769724,0.5719669,0.58826125,0.6337397,0.6046778,0.6176975,0.6275573,0.6470187,0.6033114,0.5706742,0.61804694,0.6330233,0.62131816,0.59686285,0.6000221,0.5675626,0.629453,0.60684747,0.58759606,0.66045237,0.62625706,0.57466894,0.6248422,0.6173484,0.6300469,0.5662801,0.64726365,0.60948443,0.6607017,0.56981415,0.6349358,0.588483,0.61723185,0.6261391,0.6272025,0.57542753,0.58903813,0.5866,0.6295718,0.89527714,0.9039266,0.8986586,0.8027354,0.85777247,0.84082216,0.9025642,0.88955706,0.86736596,0.938483,0.8932536,0.9119716,0.90734106,0.87159795,0.9302039
"RPLP2P1",0.93510485,0.9568615,0.9900764,1.3628477,1.0347311,0.9811571,1.0943204,1.0102507,0.9883981,0.9610198,1.0285074,1.020204,1.1786999,0.99362886,1.0478839,0.99738234,1.0708504,0.9388145,1.0382483,1.0830318,0.9833795,0.9525425,1.034146,1.0230927,1.1197814,0.8495439,1.1115792,0.8758902,1.1430303,0.9298312,1.0445313,0.9798633,1.1562508,1.0863036,1.0592053,0.9050987,0.9263318,0.9964429,1.0620043,0.4354509,0.48999667,0.44457507,0.40551296,0.5714832,0.4540043,0.5051924,0.4870498,0.4684968,0.50978464,0.47507867,0.5326768,0.46991217,0.43360353,0.58798534
"ANKIB1",0.8978864,0.8438871,1.6116862,2.136004,1.4971559,0.9807062,0.7973336,0.92416203,2.315938,1.186405,0.86075884,0.8876199,0.763211,1.1850634,1.1123253,1.2169878,1.0299745,2.2034929,1.3320005,0.97407293,1.6460788,1.1926843,1.2387462,1.2126365,0.9528227,1.3304954,0.9640257,1.0655258,0.9096423,0.90348935,0.9540814,1.1347766,1.2812625,1.008455,1.0639204,1.1812716,1.1386344,1.129867,0.91170293,64.653336,46.031113,42.494823,53.843777,35.741673,21.845108,40.097626,28.862133,43.287266,27.00389,38.621185,30.61647,45.60785,29.832273,28.856684
"RHCG",0.863716,0.88564646,0.8237971,0.843759,0.8436001,1.1146746,0.8674693,0.8557736,0.77732515,0.782176,0.85706574,0.88264614,0.7812916,0.83050245,0.83710456,0.80993736,0.87156725,0.851429,0.966426,0.9088184,0.7939124,0.8202327,0.8737063,0.79736257,0.8674696,0.777032,0.90556985,0.84296376,0.8439184,0.9892841,0.88681626,0.816376,0.80445904,0.9644238,0.8819809,0.80841166,0.7509648,0.8416937,0.77556854,0.3958442,0.4102028,0.48945805,0.5146102,0.4908446,0.51881427,0.40292156,0.40246618,0.3935374,0.41903526,0.43892643,0.4060479,0.3816281,0.5420945,0.58150005
"LINC03007",1.0843155,0.9590803,1.0443896,0.6722332,1.0375212,1.1030785,1.1145756,1.0828854,1.031281,0.99255884,1.0999634,1.144385,1.1133155,1.0578647,1.0696973,0.98176473,1.1249195,1.1888057,1.1417989,1.2489991,1.0426191,1.0214127,1.1028708,1.1785411,1.1355734,0.99330765,1.1552235,1.0485326,1.185002,1.0066924,1.1390045,1.0334216,1.5493364,1.3329356,1.1264052,1.1068279,1.0499176,1.036153,1.0978918,0.44339418,0.46069187,0.4505563,0.400981,0.4630431,0.41834056,0.4621707,0.45654204,0.4201201,0.696305,0.45602563,0.46778083,0.44911474,0.5135716,0.5544904
"FBRSL1",0.49788308,0.4039501,0.46258986,0.5244752,0.5158459,0.671274,0.5169168,0.5025035,0.47068307,0.46041468,0.49284032,0.52556413,0.5918436,0.48299807,0.5550978,0.47639644,0.5047826,0.48683771,0.5639582,0.54658234,0.48281613,0.47523054,0.5194568,0.51255006,0.51390463,0.41710612,0.5303419,0.50250363,0.53819793,0.47603738,0.52477235,0.46820498,0.5058303,0.522797,0.60253936,0.4402958,0.48941454,0.5246731,0.50659394,0.79854167,0.7554856,0.74235487,0.855105,0.69718415,0.72203887,0.78481084,0.7821525,0.7707348,0.81681305,0.782447,0.90571207,0.7982404,0.8233524,1.0153289
"RTF1",1.4221876,0.9489702,0.9388269,1.0586202,0.99551755,1.0119799,1.0281335,0.76429206,0.934413,0.9817257,0.7792787,1.2753605,1.3389268,0.997772,0.9833929,0.93988955,1.032601,0.99326766,0.96320915,1.0674378,0.963209,0.942196,1.0271647,1.0198327,1.0292971,1.1406773,1.0498756,0.9899023,1.59011,0.9414855,1.0400256,0.96103257,1.0125525,1.1113834,0.8716195,0.9429064,0.9397129,0.8004221,1.4099078,0.35037062,0.3425977,0.3468217,0.27397922,0.33938366,0.373023,0.34675637,0.34806648,0.337533,0.36445144,0.2597715,0.32217592,0.35455674,0.3642354,0.38828415
"ZNF621",0.7196451,0.7322358,1.1318344,2.876748,2.3225965,1.0446863,0.94891953,0.4755956,1.3492446,1.1146823,0.5196605,0.62842023,0.7008997,0.4605084,0.97319776,0.8925241,0.556993,3.670158,2.5671382,0.46688974,1.4024105,1.7291735,0.49629745,0.685738,0.6090582,1.0203555,0.42050752,0.9373622,0.35148805,1.5439439,0.4912708,1.0992393,1.1844448,0.44766828,0.6504791,1.2290293,1.2129176,1.910156,0.7636758,11.093197,6.2457194,11.011927,9.732982,12.541734,6.015761,12.725116,6.482044,8.516618,3.050523,8.004426,7.5799837,9.059876,4.817528,10.162126
"CYP2A7P1",1.739801,1.9551517,1.9603183,2.400726,2.390338,2.0410228,2.0861502,2.0468018,1.7153747,1.8399943,2.420267,2.1023378,2.1371033,1.8323787,2.3434885,1.8941976,2.18024,1.8981298,1.9514683,2.1455803,1.965499,1.913219,2.0771239,2.0464172,2.0845773,1.8083558,1.8778433,1.8640853,2.1959157,1.8909866,2.1872394,1.9496301,2.1781852,2.1508453,2.1839428,1.8690118,1.9466922,2.1480088,2.0728207,1.2605268,1.2859696,1.2569662,1.3267053,1.4871566,1.4105796,1.1669847,1.2784766,1.2086309,1.3470142,1.2698278,1.3089619,1.0702469,1.4677525,1.3251008
"IGLV3-19",0.72229075,0.6768074,0.69386125,0.75089353,0.70069695,0.72652435,0.7334053,0.7157839,0.7078668,0.66529536,0.7255664,0.74258804,1.0156467,0.6970078,0.7068,0.65213203,0.7410493,0.67184925,0.68825895,0.79129744,0.68890816,0.67362505,0.7339584,0.72817004,0.7350665,0.66141856,0.8059013,0.7006968,0.7984908,0.67045754,0.7400724,0.6876107,0.7195726,0.743428,0.74595547,0.67324394,0.6909897,0.68864864,0.7207947,0.9792914,1,0.98076874,0.91334176,0.955943,0.9242942,0.99061817,0.9850317,0.958288,1.0310125,0.98113906,0.9952977,1.003399,0.9487451,1.0159625
