"gene_symbol","Control_GSM300168","Control_GSM300169","Control_GSM300170","Control_GSM300171","Control_GSM300172","Control_GSM300174","Control_GSM300178","Control_GSM300182","Control_GSM300185","Control_GSM300187","Control_GSM300190","Control_GSM300193","Control_GSM300197","Control_GSM300205","Control_GSM300209","Control_GSM300215","Control_GSM300219","Control_GSM300223","Control_GSM300227","Control_GSM300231","Control_GSM300235","Control_GSM300239","Control_GSM300243","Control_GSM300255","Control_GSM300262","Control_GSM300268","Control_GSM300272","Control_GSM300276","Control_GSM300280","Control_GSM300286","Control_GSM300290","Control_GSM300294","Control_GSM300298","Control_GSM300301","Control_GSM300305","Control_GSM300309","Control_GSM300313","Control_GSM300317","Control_GSM300321","Control_GSM300325","Control_GSM300329","Control_GSM300333","Control_GSM300339","AD_GSM1176211","AD_GSM1176212","AD_GSM1176213","AD_GSM1176214","AD_GSM1176215","AD_GSM1176216","AD_GSM1176217","AD_GSM1176218","AD_GSM1176219","AD_GSM1176220","AD_GSM1176221","AD_GSM1176222","AD_GSM1176223","AD_GSM1176224","AD_GSM1176225","AD_GSM1176226","AD_GSM1176227","AD_GSM1176228","AD_GSM1176229"
"ANKIB1",0.86992425,0.83846813,0.7568469,0.848078,0.6282263,0.95266575,1.3741192,1.525605,0.75710386,1.7189587,2.2724154,1.5296491,0.74348015,0.8904732,1.1503326,1.7774689,2.0803356,1.5775354,1.1535894,1.8148315,1.4436449,1.1782942,3.4305558,1.2668426,0.80436885,1.3437958,1.2824712,1.9764081,2.0638769,1.2574942,2.4532964,1.1498977,1.1698574,1.0789005,2.049876,1.0976288,1.0404301,1.0382682,1.6658349,1.4107194,0.95627576,1.021905,0.84199715,36.982666,46.06372,50.193245,34.13177,43.572563,69.1623,32.810993,28.220362,64.93898,30.71543,33.767822,35.833702,27.908714,51.306496,28.359453,33.424736,34.056408,40.92189,27.655073
"ZNF621",1.1324503,1.2909298,1.5584759,1.1201892,1.1875671,0.93575495,1.3080152,1.2438456,1.1632028,2.2270195,3.68636,1.9024379,0.8228386,0.6314431,0.69721943,1.4129329,1.5002254,1.5501186,1.7199469,0.76346946,1.528577,0.99000376,2.105385,2.5953326,1.3175913,1.3129722,2.1815832,1.62148,1.3932971,1.2779409,1.3162035,0.68493557,0.6194967,1.2210063,2.2618222,0.7925983,1.0663837,0.8977929,1.086742,1.407599,1.1861845,1.6132212,1.0223488,9.413808,17.809868,14.77465,12.855552,6.8638225,13.219256,11.48257,10.438692,11.284528,11.25256,13.65946,5.6117554,12.516152,16.391016,6.1916394,7.6305947,11.195253,13.65162,8.039444
"SLC25A46",0.6286324,0.4605148,0.43192953,0.71255195,0.47272193,0.7964001,0.8655023,0.6344718,0.4101988,0.6610504,0.5538111,0.8180763,1.4199791,1.3870695,0.69043696,0.8289773,1.0944366,1.3063607,0.5963106,0.78935313,0.8384375,0.9705954,1.3215181,0.28587773,0.8067728,0.68783057,0.51259094,1.2557355,1.3083382,0.69148207,1.5226054,1.4299498,1.5151373,0.730187,0.94613034,1.2945565,0.9614618,1.2557358,1.3459824,0.5366959,0.8379619,0.5185383,0.9296363,8.295235,9.885368,10.910993,7.4316845,10.039855,13.570609,7.350162,3.6766996,15.920551,6.396348,7.366858,13.763173,6.506994,8.743613,16.974602,10.923382,9.099559,9.245697,11.837554
"RAE1",9.388072,6.6851864,8.313208,10.476218,5.8834367,6.693337,5.777588,5.234499,6.9519954,5.626633,7.6334805,5.7797723,10.637973,9.186016,5.6682825,5.675791,7.900784,6.9592357,6.4876585,6.944774,6.6429024,7.503239,8.095894,2.439946,4.9327025,5.6586475,4.605471,6.891137,9.236523,5.612815,10.194831,11.248305,9.334861,3.5509655,4.6501026,10.264472,10.452521,10.950268,9.003702,3.9881706,5.1803374,4.2554336,7.358508,0.93113315,0.9660422,0.95478135,0.7425712,0.83639926,1.013239,0.80459505,0.65956795,1.0610408,0.56162953,0.8526891,1.1640596,0.6274295,0.98690736,1.3056519,0.6058762,0.8599766,0.5284534,1.1385872
"ONECUT3",1.3185891,1.3972234,1.4418614,1.3579141,1.5586412,1.0800042,1.0397227,1.0653987,1.4362441,0.99340093,1.1024973,0.9917115,1.1295098,1.0818443,1.1209979,1.0391332,1.1180347,1.060775,1.4160832,1.0591712,1.0793921,1.0450451,1.0539765,0.6680384,0.64725107,1.0708529,1.0424789,1.0053067,1.0983349,1.0365816,1.0686272,1.1014556,1.1043751,1.0553725,1.0816393,1.0525821,1.0627829,0.99791986,1.0894403,1.0488069,1.0020802,1.0156252,1.0730829,1.7505988,1.5796204,1.5166839,1.5953188,1.6370996,2.0360675,1.5626845,1.6982753,1.5576692,1.6309197,1.5964372,1.607039,1.6728672,1.623227,1.6253768,1.7664084,1.5109583,1.594559,1.5491506
"ALPP",0.9763561,1.0217428,1.0596132,1.0584835,1.7157061,1.1766016,1.1280146,1.1523789,1.1147203,1.095845,1.1884538,1.0674146,1.2145826,1.2058866,1.2485843,1.1233315,1.2004257,1.150637,0.9613455,1.0724726,1.1817305,1.1129701,1.1508552,1.282832,1.1832979,1.1757121,0.9166833,1.0545737,1.1956673,1.1239686,1.1853114,1.1862086,1.1824011,1.1734908,1.2599696,1.1480289,1.1521611,1.1979313,1.174823,1.1218456,1.2008799,0.99433935,1.1406714,1.708115,1.4584147,1.4018973,1.4587317,1.4848524,1.7270033,1.4235364,1.5792735,1.388179,1.4978251,1.4989588,1.4529089,1.584869,1.4756147,1.6420102,1.44469,1.3989837,1.5111836,1.4224603
"KRT6A",0.8527816,0.8196761,0.85825807,0.81886244,0.90690845,0.7228214,0.6789634,0.6987631,0.86942184,0.6390946,0.72131956,0.6455323,0.74039143,0.7191406,0.7338399,0.68050593,0.7280348,0.68736094,0.83546704,0.69810265,0.7430566,0.7399716,0.7464371,0.4610253,0.44532934,0.72473776,0.70820844,0.648101,0.7179171,0.67143,0.6942846,0.7171033,0.7222749,1.0033276,0.73885286,0.6798629,0.6921872,0.6376459,0.713856,0.8832586,0.67601675,0.81504774,0.7044687,0.48073432,0.48792365,0.4645135,0.41854033,0.50797844,0.4341267,0.4768856,0.511642,0.3831696,0.5024373,0.49582988,0.5026273,0.4587108,0.50129837,0.4971444,0.49433213,0.46214774,0.43114018,0.465041
"WDR90",0.76773334,0.7410133,0.7623174,0.74279475,0.8182855,0.6675405,0.5940243,0.63924927,0.75842744,0.510817,0.5646687,0.5292043,0.6680459,0.6977442,0.69893223,0.5742528,0.6405808,0.62774915,0.6980224,0.6035358,0.6476455,0.5922294,0.5302062,0.44929594,0.43399924,0.60114384,0.56338876,0.5941368,0.62219393,0.5963881,0.62348974,0.6779732,0.6313203,0.6483802,0.5773016,0.5715444,0.6110005,0.54825383,0.65801555,0.619728,0.57468754,0.5720851,0.65951055,1.106183,0.8471739,0.8182029,0.8530537,0.91616565,0.89196897,0.83287734,0.8952706,0.7047925,0.86236846,0.85473716,0.86367375,0.9213182,0.86678255,0.8689163,1.1582812,0.74283606,0.8796552,0.8361919
"LINC02987",2.3719826,1.9112636,2.4204376,1.4466103,1.9064969,1.7459598,2.1146135,1.8197867,3.4773185,3.2459009,4.837572,2.2262297,3.6160202,2.3229997,2.450707,1.8184105,3.9995012,2.1907315,2.3490894,2.1214216,2.429481,1.6524743,2.3216825,2.9859939,2.7983177,2.9180772,2.2768962,2.789652,3.923091,2.217406,2.557718,2.1411722,2.4057076,1.5908413,2.6638536,1.7568892,1.9609275,1.8040248,3.2966273,2.4927757,2.0093534,2.1651947,1.3893844,0.96774936,0.6446438,0.7479509,0.8848949,0.60851365,0.5636446,1.0061235,1.1457081,0.6851181,0.8202612,0.7785461,0.7302013,1.1900338,0.85204005,0.8660105,0.6009659,0.5762583,0.8257899,0.7502177
"FBRSL1",0.18080188,0.17439087,0.18053913,0.16504003,0.1915145,0.45217997,0.4300779,0.444381,0.1790787,0.41868287,0.5823716,0.39648956,0.47094378,0.45243686,0.5481745,0.4375434,0.46748343,0.43804017,0.16953373,0.44169995,0.49881136,0.4369643,0.43953365,0.51167834,0.43586123,0.45013237,0.5808318,0.4415331,0.4618593,0.43580908,0.46124846,0.4631716,0.4615102,0.4576862,0.45682123,0.48679036,0.4360564,0.42959037,0.4567351,0.44161665,0.42090547,0.45829234,0.44345778,0.6538674,0.7065182,0.63576305,0.5849904,0.7257475,0.6083662,0.7114791,0.7684022,0.6606441,0.739603,0.7148505,0.72259784,0.8075855,0.4914006,0.7278091,0.712691,0.6575281,0.6325257,0.6586484
"RTF1",1.6315676,1.571884,1.8407843,1.5999167,1.7413622,1.2351204,0.8705039,0.8271722,1.6180563,0.8005487,0.7262585,0.77448887,0.85840684,0.8839412,0.85824454,0.80419034,1.0188311,1.0926722,1.574821,0.6618596,0.76531625,0.58718926,0.80343026,0.6262246,0.55287606,0.8124444,1.0329934,0.90183884,0.69639957,1.0689634,0.85242146,0.984548,1.3563232,0.82078344,1.1253871,0.8217155,0.81892294,0.9272611,0.8345571,0.6827081,0.78466094,0.5747746,0.8904846,0.37163934,0.28971627,0.28002042,0.20315316,0.30185255,0.28561583,0.23366418,0.30924824,0.24152648,0.28049737,0.29291135,0.40237498,0.251894,0.22601514,0.33197525,0.29092413,0.28412768,0.33285588,0.30674395
"PHEX",1.130662,1.4971331,1.1474541,1.0628735,1.256188,1.2046962,1.7330523,2.0989802,1.1665579,1.5844647,1.2370173,2.3418605,1.4813056,1.8063339,1.1794481,1.5877637,1.5808737,2.114118,0.9960511,1.4871994,2.3569682,1.6718875,1.1781119,1.0039489,1.4986438,1.7521658,1.5701464,1.3519988,1.7002642,1.627897,1.4587873,1.5328873,1.4330853,1.3514867,1.7419235,1.5671808,1.5823689,1.8083847,1.7920438,1.7291243,3.1081953,2.043752,3.0229805,2.2401059,2.552371,3.4903367,3.0410948,2.5688348,4.532284,2.459033,3.6441195,2.8102672,3.0265102,2.0081863,1.7285255,3.4945738,1.8163257,2.0942895,3.3620622,3.0604668,2.0953646,2.1569946
