"gene_symbol","log2_fold_change","adj_p_value","avg_expression","t_statistic"
"DDR1",0.0833943962232558,0.822052409613354,0.955717171470588,0.678144011955144
"RFC2",-0.073925973860465,0.580173965000325,1.001890465,-1.28154234970882
"HSPA6",0.26365515212093,0.555916123615149,1.0590489075,1.34626721305389
"PAX8",0.0420250713395349,0.762393421287133,0.920905395735294,0.832678892836512
"GUCA1A",-0.188208912604651,0.258000018752776,0.603515125441176,-2.43581881114065
"UBA7",0.0896855840651161,0.496457399110012,0.938565650735294,1.51259657091689
"THRA",0.0797634746418605,0.754507688058257,1.19240269941176,0.855648412397864
"PTPN21",0.128587297432558,0.328570504518061,1.07039157147059,2.11196195643919
"CCL5",0.0581893186325581,0.867271729209362,0.973844001617647,0.550818834562047
"CYP2E1",-0.349844341944186,0.177090791130145,1.23628493338235,-2.87944692233722
"EPHB3",-0.336139996325581,0.417202468176333,1.34897324132353,-1.76602282934426
"ESRRA",0.0674060768558139,0.720736160888667,1.24929498264706,0.934660464227251
"CYP2A6",0.0352259469581395,0.632141119975143,1.02149273323529,1.14685522880653
"SCARB1",-0.0206849587720929,0.936887085122406,1.03248982411765,-0.311755627133747
"TTLL12",-0.0930217221116278,0.332220399164095,1.01430739397059,-2.09287961998243
"WFDC2",-0.0648115385302325,0.437253025358363,1.04889934941176,-1.69657052981606
"MAPK1",0.0852846642325581,0.76068548517431,1.13255758573529,0.837013727522547
"MAPK1",-0.303334196306976,0.397017045245945,1.01129802279412,-1.8368712649539
"ADAM32",-0.0144572317674418,0.909953803028234,1.03764171102941,-0.411538278576959
"SPATA17",-0.00217394248372095,0.959752411602778,0.441704081323529,-0.208213526436671
"PRR22",0.0104851667534883,0.927021073959643,0.322607966764706,0.357443946662176
"PRR22",0.0073772638232558,0.981651388861118,1.16783781632353,0.105847170244921
"PXK",0.0837586572930232,0.875770078504313,1.28431171191176,0.523807863656212
"PXK",0.0762151214976743,0.893047014049262,1.28552465455882,0.473469506703186
"VPS18",-0.0406297837674418,0.885288366703385,1.28163079926471,-0.498946245300386
"MSANTD3",-0.143397499590698,0.437400631797252,1.06706845382353,-1.69576069894879
"SLC46A1",-0.0848709833023255,0.353284503935085,0.903612271911765,-2.01076807340785
"SLC46A1",-0.0156124210232558,0.944033884494933,0.951048702352941,-0.281589893248919
"TIMD4",-0.00869048355348828,0.719426947945697,0.547565083235294,-0.937879012821032
"SLC39A5",0.0153819018325581,0.894530882304498,1.02133247073529,0.467577650756446
"ZDHHC11",-0.0356138241209301,0.958720526292211,1.16127345602941,-0.211591053082258
"ATP6V1E2",-0.0202166718976745,0.940103510194453,1.08718633073529,-0.300414309855638
"AFG3L1P",0.0201016905674419,0.958333188122207,1.10972923764706,0.214536618879789
"CILP2",-0.0144477976744186,0.931009805607901,0.981182247352941,-0.339006039409457
"CILP2",-0.000262488260465099,0.994601281841204,0.357188418823529,-0.0326455484253184
"PIGX",-0.00978566760930237,0.961183955656205,0.905796255294118,-0.202925572186626
"TMEM196",-0.167562507413953,0.328570504518061,0.818066242794118,-2.1124263344075
"SLC39A13",-0.0423235610790698,0.871625534296223,1.20938215352941,-0.536399084233645
"BEST4",-0.0309070917860464,0.481073763317104,0.637398912794118,-1.55596624133543
"AK9",-0.00360345015813954,0.993229591997106,0.941929274705882,-0.0397414217963307
"CORO6",-0.123376190288372,0.690878035164467,1.48100589,-1.01057271066457
"TMEM106A",-0.00629036257674411,0.982190272042685,0.904540423676471,-0.098532143586741
"TMEM106A",0.215288255172093,0.202413097818728,0.797497285441176,2.75448678104694
"ALG10",0.00724829833488379,0.789186985079074,0.466098016029412,0.759782030351546
"ALG10",-0.0256307892465116,0.767968793728585,0.876698741764706,-0.819279127966784
"TTC39C",0.00919658414883725,0.943116375567083,0.763733121764706,0.287896533059495
"NEXN",0.434247304418604,0.509879868317631,2.05228957985294,1.47292961336925
"C15orf40",-0.179208178967442,0.225394089238838,0.932108059852941,-2.61082044999504
"RAX2",0.0263439505488372,0.787840847937648,1.02185887058824,0.764720280792156
"MFAP3",-0.114239608325581,0.788848636738068,1.27257018632353,-0.762318555325631
"EYA3",-0.049625547776744,0.746794122261466,1.11197062029412,-0.874524151134417
"GIMAP1",0.0714733982511628,0.812362396495245,0.94485101,0.705439333400898
"GIMAP1",0.0275929277395349,0.968978717166747,1.21552833058824,0.164451768553619
"GIMAP1",-0.0159732273209302,0.950555113100676,0.925219553676471,-0.251746590714181
"KLK8",0.0361736533767442,0.612590843735365,0.955573860294118,1.19404199967642
"DRC2",0.0232264698604651,0.866356049105247,0.982918881470588,0.553154314541526
"DRC2",-0.073615071088372,0.572908087973136,1.08997685911765,-1.3000905615674
