"gene_symbol","Control_GSM300166","Control_GSM300175","Control_GSM300179","Control_GSM300183","Control_GSM300194","Control_GSM300198","Control_GSM300200","Control_GSM300202","Control_GSM300206","Control_GSM300210","Control_GSM300212","Control_GSM300216","Control_GSM300220","Control_GSM300224","Control_GSM300226","Control_GSM300232","Control_GSM300236","Control_GSM300240","Control_GSM300244","Control_GSM300246","Control_GSM300249","Control_GSM300253","Control_GSM300256","Control_GSM300259","Control_GSM300263","Control_GSM300265","Control_GSM300269","Control_GSM300273","Control_GSM300277","Control_GSM300281","Control_GSM300283","Control_GSM300287","Control_GSM300291","Control_GSM300295","Control_GSM300302","Control_GSM300306","Control_GSM300310","Control_GSM300314","Control_GSM300318","Control_GSM300322","Control_GSM300326","Control_GSM300330","Control_GSM300340","AD_GSM1176230","AD_GSM1176231","AD_GSM1176232","AD_GSM1176233","AD_GSM1176234","AD_GSM1176235","AD_GSM1176236","AD_GSM1176237","AD_GSM1176238","AD_GSM1176239","AD_GSM1176240","AD_GSM1176241","AD_GSM1176242","AD_GSM1176243","AD_GSM1176244","AD_GSM1176245","AD_GSM1176246","AD_GSM1176247","AD_GSM1176248","AD_GSM1176249","AD_GSM1176250","AD_GSM1176251","AD_GSM1176252","AD_GSM1176253","AD_GSM1176254"
"LINC03007",0.89816165,1.1329392,0.8127052,0.92603314,0.8667026,0.940469,0.8729378,0.9248111,0.9188986,0.9092424,0.96983653,0.90513456,0.88420784,0.95910203,0.803104,0.77263933,0.9104439,0.8946103,0.86327636,0.8737619,0.91423017,0.840934,0.94866604,1.0247582,0.7152674,0.8765683,0.7589164,0.7898817,1.0501995,0.89477867,0.9150931,0.84566367,0.88939404,0.83540016,0.90821344,0.9001969,0.88504213,1.0149466,0.9024071,0.8912416,0.8078143,0.8150087,0.89613044,0.3858769,0.4388406,0.37729698,0.4084835,0.56660455,0.22193788,0.36242467,0.36064938,0.36387587,0.40348414,0.3343449,0.35978076,0.37950978,0.37368438,0.3719244,0.4078674,0.37516776,0.3719245,0.44417092,0.34921536,0.37150556,0.33905044,0.3753093,0.37213528,0.41665524
"ANKIB1",0.9965862,0.78014195,0.67811286,1.2003133,0.81366074,0.52150625,1.2222488,0.7954481,0.7678771,1.259228,3.224854,0.90962404,1.2706816,0.61324596,0.83072126,1.4869008,1.1976002,1.0900091,0.7766178,0.77063406,1.3801324,1.0075498,0.9892816,0.9840694,0.86461693,1.0492543,1.010596,1.1957937,0.9265969,1.0226774,1.1111861,0.46976793,0.85214883,1.1843443,0.789022,0.80526227,1.0945421,0.9070545,0.72644883,0.90979624,1.6644633,0.6624346,1.0642049,49.476067,44.20828,35.660606,34.281963,18.969479,60.617767,29.046595,18.607552,24.159683,24.697882,28.969902,28.597906,23.459059,22.043201,16.02243,21.980911,29.424225,27.498514,26.275362,34.075665,31.551348,23.261532,26.399574,26.584435,20.165327
"RTF1",0.9892672,1.4234782,0.9306128,0.92483795,0.8563265,1.0022279,0.9558784,0.82914376,0.96986467,1.2123581,0.7955872,0.7198903,1.0228562,1.2615869,0.83086616,1.261112,0.9660307,0.96439147,0.9528186,0.9558788,0.9931937,0.97463334,0.985914,1.2485659,0.9633005,0.8090573,0.9522796,0.98628575,1.7209536,0.976289,1.2018838,0.7721963,0.8545514,0.9757373,0.9578641,1.049636,0.96420926,1.0664011,1.5728595,0.88423365,0.9015828,0.9636647,0.9660301,0.23450865,0.27789438,0.3397926,0.3374928,0.38080922,0.20857024,0.37580794,0.34356248,0.30274332,0.28601167,0.27675253,0.33552504,0.34255993,0.3246903,0.22428584,0.2670503,0.38812566,0.23938629,0.36829576,0.3352719,0.3362219,0.36510414,0.39113915,0.4325036,0.33206165
"IGLV3-19",1.057128,1.040509,0.90511036,1.0373726,0.99332565,1.0611237,0.9578102,1.1119465,1.0264716,1.0517573,1.0856233,1.0137701,1.0091913,1.1008842,0.9845577,0.8858537,1.0218352,1.0160681,1.0162603,0.9976447,1.0547373,1.0286039,1.0677505,1.0509639,1.0139618,1.0006603,0.99520165,0.96834815,1.0495768,1.0235707,1.370179,1.08014,1.0474013,1.0080497,0.99933976,1.0262783,1.0126235,1.0748236,1.0361991,1.0218347,0.9384945,0.990706,1.0164516,1.4618536,1.3866711,1.6426451,1.495072,1.5126894,0.94940346,1.4421096,1.3813297,1.5324795,1.5002422,1.2162286,1.3892896,1.5455427,1.426469,1.5024395,1.4813156,1.4192224,1.6209501,1.5267082,1.3837963,1.3977011,1.4404764,1.4090846,1.4361303,1.3666741
"RHCG",1.7585112,2.6326125,2.0082679,2.1219947,2.0124395,2.1919763,2.0906053,2.6635842,2.0937636,2.1445308,2.296095,2.1020732,2.0113013,2.1068368,2.0399601,2.0189044,1.7256494,2.07489,2.003728,2.001461,2.9918058,2.149391,2.9766073,2.2127495,2.0465128,2.0878465,2.3213568,2.6103592,2.176729,2.1336346,2.1191957,3.5566192,2.0616245,2.0530863,2.5829268,2.1136062,1.9132262,2.0961344,2.1384711,2.1380682,1.8959818,2.0643497,2.0961342,1.1973087,1.0032125,1.0020777,1.0566294,1.1997987,0.360869,1.333645,1.283967,1.0492805,1.188354,1.0824473,1.1221672,1.0582253,0.98967797,1.1847124,0.9110203,1.0259881,1.1453315,1.0798025,0.9891187,0.99849236,1.1809145,1.0192358,1.183147,0.88410085
"ONECUT3",0.54292446,0.53620666,0.5029893,0.53057176,0.481814,0.5509721,0.517523,0.5437442,0.527976,0.5440523,0.5688204,0.56667835,0.51889175,0.52967155,0.50384426,0.50327426,0.5306722,0.5240069,0.51645064,0.5137297,0.5320752,0.61086285,0.5560888,0.54848325,0.5236116,0.51781607,0.5114094,0.50489074,0.5415944,0.5289725,0.53037196,0.7094159,0.5291725,0.52479845,0.52193505,0.5247984,0.52479815,0.5346915,0.53217554,0.5265835,0.48363551,0.51121646,0.5224276,0.879559,0.7633342,0.77757716,0.81528056,0.9184339,0.35890633,0.8684994,0.8278203,0.7793393,0.92614156,0.7794198,0.74850446,0.7531778,0.78420585,0.8455174,0.82254106,0.75360465,0.8380455,0.84312147,0.75974274,0.76708716,0.9448245,0.7715862,0.86131227,0.7772837
"SLC25A46",0.5625185,0.9811591,1.2058278,0.9132867,1.0231212,1.4011978,1.0473355,0.34471026,1.4321975,1.0600579,0.9934507,0.7954927,1.1911325,1.4733014,0.4300043,0.9117372,1.1224147,1.5204554,1.8598242,1.8319675,0.5223231,1.8778032,0.42846584,2.271509,1.1719646,1.6517317,0.94500935,0.5473402,1.9581125,1.6208647,0.42460376,0.49354967,1.8357728,1.4416852,0.4913545,1.4099475,1.7162113,1.8120319,1.9103166,1.8267905,0.8480271,1.0707096,1.3747529,15.63087,9.458719,11.362277,14.451812,12.372025,8.3860855,15.65746,7.0339184,6.5203714,13.713968,16.604664,13.791277,14.286453,12.085239,5.8653383,13.034908,22.624596,7.0859227,32.64111,13.175834,17.564453,24.34933,11.985344,16.244835,21.05555
"MYEOV",1.1253407,1.0682483,0.99641675,1.1461219,1.0138607,1.110788,1.0314153,1.0578204,1.0333635,1.055628,1.1047275,1.0392276,1.0119501,1.0580196,1.0028287,0.9428372,1.0378568,1.0544337,1.014244,1.0201923,1.1055616,1.0502647,1.1511066,1.0793895,1.0134786,1.0226971,1.0153928,0.9932267,1.0686508,1.0406007,1.0370742,1.7075922,0.9129082,1.0223118,1.0279193,1.0662354,1.0316103,1.0467048,1.0550303,1.0127143,0.70646155,1.1261911,1.0380522,2.0185847,1.4461827,1.4678962,1.688756,1.8485243,1.2997153,1.5240505,1.4595417,1.4737226,1.5652546,1.3502798,1.4437298,1.4307152,1.4846052,1.4611967,1.5583537,1.4210324,1.4778488,1.5716394,1.4470015,1.4111482,1.7676089,1.4648533,1.7490125,1.4429125
"RAE1",2.7575386,6.5796814,5.9413104,5.4639482,7.0327497,6.6608553,5.968267,3.40563,6.429983,5.634569,7.8978705,4.2419014,7.804564,5.971648,4.3145375,7.3612494,6.3169713,8.748116,8.086324,8.002858,4.1965356,8.78781,3.142657,10.043499,5.856737,7.7810445,5.1691675,4.3015323,9.589872,7.614059,2.9225035,2.6945667,7.8429375,9.481942,3.0572813,7.21279,9.101631,8.54747,9.539353,10.339553,5.9739075,5.434143,8.002854,0.7501161,0.6673924,0.6666374,0.8730619,0.6374208,0.8067285,0.78430593,0.576271,0.69817084,0.8713488,0.86230373,0.72433203,1.2244477,0.7834638,0.6501871,0.8903594,1.1462148,0.6820086,1.2191464,0.83473134,0.93494207,0.9451973,1.0202738,1.0052207,1.1638635
"FBRSL1",1.3414596,1.0634707,1.0457647,1.1366996,1.0808643,1.2065201,1.1127245,1.7197895,1.1022792,1.1253914,1.0277714,1.1056106,1.0104692,1.1165094,1.0739539,0.97913253,1.0991646,1.1004092,1.3047714,0.98953074,1.1290063,1.1287931,1.554693,1.1596578,1.0596653,1.0835179,1.0913138,0.9858044,1.1324186,1.1200958,1.0993723,0.5953193,1.0256411,1.102487,1.1014472,1.0179315,1.1123053,1.3055097,1.1219993,1.1209419,0.89944434,1.0814766,1.0552766,1.7035706,1.7214923,1.7227913,1.856418,2.1200235,1.329057,1.918816,1.6210204,1.7273473,1.7110679,1.2833003,1.542204,1.732895,1.7476685,2.4826217,1.8169208,1.7368228,1.6265411,1.8658975,1.6963468,1.7198689,1.6770748,1.5888615,1.7242864,1.7420727
